Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",4,3.99,Simon & Schuster ,Paperback,453,2004,1961,2012/02/12,2012/01/25,fiction,fiction (#12),read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",4,4.15,Bantam Books,Mass Market Paperback,1061,2011,2005,2011/12/12,2011/12/06,fiction,fiction (#9),read,,,,1,0
105576,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,"Bhagat, Chetan",,"=""8129104598""","=""9788129104595""",3,3.43,Rupa Publications,Paperback,267,2011,2004,2010/01/01,2011/11/24,fiction,fiction (#8),read,,,,1,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.","David Alabort, Manuel Espín","=""8498000831""","=""9788498000832""",5,4.10,La factoría de ideas,Paperback,288,2006,1969,2012/01/01,2011/09/30,fiction,fiction (#5),read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.41,Bantam,Paperback,969,2002,1998,2011/10/29,2011/10/18,"own, fiction","own (#10), fiction (#6)",read,,,,1,1
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,2011/11/22,2011/11/05,fiction,fiction (#7),read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,2011/09/28,2011/09/10,"own, fiction","own (#9), fiction (#4)",read,,,,1,1
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,2011/04/17,2011/04/25,fiction,fiction (#1),read,,,,1,1
5470,1984,George Orwell,"Orwell, George","Thomas Pynchon, Erich Fromm, Irving Howe, Martha C. Nussbaum, George Packer, Raymond Williams, Bernard Crick, Homi K. Bhabha, Golo Mann, عبد الكريم ناصيف, Nils Holmberg, Regina Silveira, Amazing Améziane, Marcelo Pen","=""""","=""""",4,4.19,New American Library,Mass Market Paperback,328,1950,1949,2011/07/17,2011/06/27,"own, fiction","own (#7), fiction (#3)",read,,,,1,1
17948832,Making reliable distributed systems in the presence of software errors,Joe Armstrong,"Armstrong, Joe",,"=""""","=""""",4,4.22,,ebook,295,2003,2003,2016/07/24,2016/07/12,"programming, distributed-systems, elixir","programming (#57), distributed-systems (#11), elixir (#5)",read,,,,1,0
18324312,"Designing for Scalability with Erlang/OTP: Implementing Robust, Fault-Tolerant Systems",Francesco Cesarini,"Cesarini, Francesco",Steve Vinovski,"=""1449320732""","=""9781449320737""",4,4.48,O'Reilly Media,Paperback,400,2014,2014,2017/03/12,2017/02/18,"programming, elixir","programming (#63), elixir (#7)",read,,,,1,0
24791466,Metaprogramming Elixir,Chris McCord,"McCord, Chris",,"=""""","=""9781680500417""",3,4.38,The Pragmatic Programmer,Paperback,106,2015,2015,2016/07/10,2016/07/10,"programming, elixir","programming (#56), elixir (#4)",read,,,,1,0
23245313,Stuff Goes Bad: Erlang in Anger,Fred Hebert,"Hebert, Fred",,"=""""","=""""",4,4.33,,ebook,93,2014,2014,2016/08/06,2016/07/24,"programming, elixir","programming (#58), elixir (#6)",read,,,,1,0
15809496,Learn You Some Erlang for Great Good!,Fred Hebert,"Hebert, Fred",,"=""1593274351""","=""9781593274351""",4,4.48,No Starch Press,Paperback,624,2013,2012,2012/11/23,2012/10/14,"programming, elixir","programming (#34), elixir (#1)",read,,,,1,0
17971957,Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun,Dave Thomas,"Thomas, Dave",,"=""1937785580""","=""9781937785581""",4,4.29,The Pragmatic Bookshelf,Paperback,287,2013,2013,2013/07/27,2013/07/27,"programming, elixir","programming (#40), elixir (#2)",read,,,,1,0
20524444,Elixir in Action,Saša Jurić,"Jurić, Saša",,"=""161729201X""","=""9781617292019""",4,4.54,Manning,Paperback,351,2015,2015,2016/07/07,2016/07/07,"programming, elixir","programming (#55), elixir (#3)",read,,,,1,0
41803,On LISP: Advanced Techniques for Common LISP,Paul    Graham,"Graham, Paul",,"=""0130305529""","=""9780130305527""",5,4.30,Prentice Hall,Paperback,413,1994,1993,2011/09/01,2011/06/08,"programming, lisp","programming (#16), lisp (#4)",read,,,,1,0
8129142,The Joy of Clojure,Michael Fogus,"Fogus, Michael",Chris Houser,"=""1935182641""","=""9781935182641""",4,4.18,Manning Publishing,Paperback,328,2011,2010,2011/11/05,2011/05/09,"programming, lisp","programming (#15), lisp (#3)",read,,,,1,0
475858,The Seasoned Schemer,Daniel P. Friedman,"Friedman, Daniel P.",Matthias Felleisen,"=""026256100X""","=""9780262561006""",4,4.30,MIT Press,Paperback,224,1995,1995,2016/03/13,2016/03/12,"programming, lisp","programming (#54), lisp (#6)",read,,,,1,0
548914,The Little Schemer,Daniel P. Friedman,"Friedman, Daniel P.","Matthias Felleisen, Duane Bibby, Gerald J. Sussman","=""0262560992""","=""9780262560993""",5,4.29,MIT Press,Paperback,210,1995,1974,2010/04/01,2011/04/25,"programming, lisp","programming (#5), lisp (#1)",read,,,,1,0
43713,Structure and Interpretation of Computer Programs,Harold Abelson,"Abelson, Harold","Gerald Jay Sussman, Julie Sussman","=""0262510871""","=""9780262510875""",5,4.47,MIT Press,Paperback,657,1996,1984,2011/05/03,2011/04/25,"programming, own, lisp","programming (#14), own (#3), lisp (#2)",read,,,,1,1
74645,Mathematics: A Very Short Introduction,Timothy Gowers,"Gowers, Timothy",,"=""0192853619""","=""9780192853615""",4,3.87,Oxford University Press,Paperback,143,2002,2002,2014/03/29,2014/03/28,math,math (#4),read,,,,1,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",5,4.72,O'Reilly,ebook,562,,2015,2017/11/05,2017/09/02,"programming, distributed-systems","programming (#70), distributed-systems (#7)",read,,,,1,0
34691716,"Designing Distributed Systems: Patterns and Paradigms for Scalable, Reliable Services",Brendan Burns,"Burns, Brendan",,"=""1491983647""","=""9781491983645""",3,3.57,O'Reilly Media,Paperback,149,2018,,2018/02/13,2018/02/03,"programming, distributed-systems","programming (#75), distributed-systems (#8)",read,,,,1,0
21557290,Elasticsearch: The Definitive Guide: A Distributed Real-Time Search and Analytics Engine,Clinton Gormley,"Gormley, Clinton",Zachary Tong,"=""1449358543""","=""9781449358549""",4,4.25,O'Reilly Media,Paperback,724,2015,2014,2017/09/02,2017/08/17,"programming, distributed-systems","programming (#69), distributed-systems (#6)",read,,,,1,0
29598815,Making Sense of Stream Processing,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""9781491940105""",4,4.29,O'Reilly Media,ebook,183,2016,,2017/02/19,2017/02/11,"programming, distributed-systems","programming (#62), distributed-systems (#3)",read,,,,1,0
23237460,"I Heart Logs: Event Data, Stream Processing, and Data Integration",Jay Kreps,"Kreps, Jay",,"=""1491909382""","=""9781491909386""",5,3.86,O'Reilly Media,Paperback,60,2014,2014,2017/03/25,2017/02/11,"programming, distributed-systems","programming (#64), distributed-systems (#4)",read,,,,1,0
23612990,Docker in Action,Jeff Nickoloff,"Nickoloff, Jeff",,"=""""","=""9781633430235""",3,3.77,Manning Publications,ebook,304,2016,2015,2017/08/12,2017/08/11,"programming, distributed-systems","programming (#68), distributed-systems (#5)",read,,,,1,0
